slug,release_date,ready,published
m1-w00,,false,false
m1-w01,06-09-2026,true,true
m1-w02,06-09-2026,true,true
m1-w03,06-09-2026,true,true
m1-w04,06-09-2026,true,true
m1-w05,06-09-2026,true,true
m1-w06,06-09-2026,true,true
m1-w07,,false,false
m1-w08,,false,false
m1-w09,,false,false
m1-w10,,false,false
m1-w11,,false,false
m2-w00,,false,false
m2-w01,,false,false
m2-w02,,false,false
m2-w03,,false,false
m2-w04,,false,false
m2-w05,,false,false
m2-w06,,false,false
m2-w07,,false,false
m2-w08,,false,false
m2-w09,,false,false
m2-w10,,false,false
m2-w11,,false,false
m3-w00,,false,false
m3-w01,,false,false
m3-w02,,false,false
m3-w03,,false,false
m3-w04,,false,false
m3-w05,,false,false
m3-w06,,false,false
m3-w07,,false,false
m3-w08,,false,false
m3-w09,,false,false
m3-w10,,false,false
m3-w11,,false,false
